timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732356037759,439,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2200,689,10,10,null,0,5011,0
1732356042769,439,Homepage,200,OK,Thread Group 1-1,text,true,,2200,689,10,10,https://blazedemo.com/,435,0,0
1732356037778,425,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2384,689,10,10,null,0,5012,0
1732356042789,425,Homepage,200,OK,Thread Group 1-5,text,true,,2384,689,10,10,https://blazedemo.com/,423,0,0
1732356037765,406,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2305,689,10,10,null,0,5048,0
1732356042812,406,Homepage,200,OK,Thread Group 1-9,text,true,,2305,689,10,10,https://blazedemo.com/,405,0,0
1732356037767,405,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,2331,689,10,10,null,0,5064,0
1732356042830,405,Homepage,200,OK,Thread Group 1-7,text,true,,2331,689,10,10,https://blazedemo.com/,403,0,0
1732356037768,411,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2263,689,10,10,null,0,5062,0
1732356042829,411,Homepage,200,OK,Thread Group 1-8,text,true,,2263,689,10,10,https://blazedemo.com/,409,0,0
1732356043192,381,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,2306,875,10,10,null,0,3,0
1732356043194,381,SearchFlights,200,OK,Thread Group 1-6,text,true,,2306,875,10,10,https://blazedemo.com/reserve.php,380,0,0
1732356043216,393,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2491,875,10,10,null,0,2,0
1732356043217,393,SearchFlights,200,OK,Thread Group 1-5,text,true,,2491,875,10,10,https://blazedemo.com/reserve.php,387,0,0
1732356043197,423,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2438,872,10,10,null,0,1,0
1732356043198,423,SearchFlights,200,OK,Thread Group 1-10,text,true,,2438,872,10,10,https://blazedemo.com/reserve.php,419,0,0
1732356043219,412,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2457,878,10,10,null,0,1,0
1732356043219,412,SearchFlights,200,OK,Thread Group 1-9,text,true,,2457,878,10,10,https://blazedemo.com/reserve.php,409,0,0
1732356043209,462,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2376,873,10,10,null,0,1,0
1732356043210,462,SearchFlights,200,OK,Thread Group 1-1,text,true,,2376,873,10,10,https://blazedemo.com/reserve.php,448,0,0
1732356043236,434,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,2332,875,10,10,null,0,3,0
1732356043239,434,SearchFlights,200,OK,Thread Group 1-7,text,true,,2332,875,10,10,https://blazedemo.com/reserve.php,433,0,0
1732356043241,466,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2291,872,10,10,null,0,1,0
1732356043242,466,SearchFlights,200,OK,Thread Group 1-8,text,true,,2291,872,10,10,https://blazedemo.com/reserve.php,463,0,0
1732356043576,411,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,2687,928,10,10,null,0,0,0
1732356043576,411,PurchaseFlight,200,OK,Thread Group 1-6,text,true,,2687,928,10,10,https://blazedemo.com/purchase.php,410,0,0
1732356043611,410,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2620,928,10,10,null,0,0,0
1732356043611,410,PurchaseFlight,200,OK,Thread Group 1-5,text,true,,2620,928,10,10,https://blazedemo.com/purchase.php,405,0,0
1732356043621,408,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2681,928,10,10,null,0,2,0
1732356043622,408,PurchaseFlight,200,OK,Thread Group 1-10,text,true,,2681,928,10,10,https://blazedemo.com/purchase.php,405,0,0
1732356043632,440,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2450,928,10,10,null,0,3,0
1732356043633,440,PurchaseFlight,200,OK,Thread Group 1-9,text,true,,2450,928,10,10,https://blazedemo.com/purchase.php,431,0,0
1732356043674,405,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,2449,928,10,10,null,0,0,0
1732356043674,405,PurchaseFlight,200,OK,Thread Group 1-7,text,true,,2449,928,10,10,https://blazedemo.com/purchase.php,402,0,0
1732356043673,431,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2441,928,10,10,null,0,1,0
1732356043673,431,PurchaseFlight,200,OK,Thread Group 1-1,text,true,,2441,928,10,10,https://blazedemo.com/purchase.php,428,0,0
1732356038545,485,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,2294,689,10,10,null,0,5089,0
1732356043633,485,Homepage,200,OK,Thread Group 1-3,text,true,,2294,689,10,10,https://blazedemo.com/,482,0,0
1732356043708,410,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2693,928,10,10,null,0,2,0
1732356043709,410,PurchaseFlight,200,OK,Thread Group 1-8,text,true,,2693,928,10,10,https://blazedemo.com/purchase.php,410,0,0
1732356038518,598,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,2309,689,10,10,null,0,5008,0
1732356043525,598,Homepage,200,OK,Thread Group 1-4,text,true,,2309,689,10,10,https://blazedemo.com/,596,0,0
1732356038558,559,Blazedemo,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,2306,689,10,10,null,0,5076,0
1732356043634,559,Homepage,200,OK,Thread Group 1-2,text,true,,2306,689,10,10,https://blazedemo.com/,556,0,0
1732356043988,405,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,2450,1062,10,10,null,0,0,0
1732356043988,405,EnterDetails,200,OK,Thread Group 1-6,text,true,,2450,1062,10,10,https://blazedemo.com/confirmation.php,400,0,0
1732356044394,0,Debug Sampler,200,OK,Thread Group 1-6,text,true,,589,0,10,10,null,0,0,0
1732356044022,395,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2358,1062,10,10,null,0,2,0
1732356044023,395,EnterDetails,200,OK,Thread Group 1-5,text,true,,2358,1062,10,10,https://blazedemo.com/confirmation.php,394,0,0
1732356044420,0,Debug Sampler,200,OK,Thread Group 1-5,text,true,,588,0,10,10,null,0,0,0
1732356044032,399,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2414,1062,10,10,null,0,0,0
1732356044032,399,EnterDetails,200,OK,Thread Group 1-10,text,true,,2414,1062,10,10,https://blazedemo.com/confirmation.php,397,0,0
1732356044432,0,Debug Sampler,200,OK,Thread Group 1-10,text,true,,587,0,10,10,null,0,0,0
1732356044075,407,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2493,1062,10,10,null,0,3,0
1732356044077,407,EnterDetails,200,OK,Thread Group 1-9,text,true,,2493,1062,10,10,https://blazedemo.com/confirmation.php,403,0,0
1732356044485,0,Debug Sampler,200,OK,Thread Group 1-9,text,true,,587,0,10,10,null,0,0,0
1732356044080,424,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,2390,1062,10,10,null,0,2,0
1732356044081,424,EnterDetails,200,OK,Thread Group 1-7,text,true,,2390,1062,10,10,https://blazedemo.com/confirmation.php,419,0,0
1732356044506,0,Debug Sampler,200,OK,Thread Group 1-7,text,true,,589,0,10,10,null,0,0,0
1732356044107,423,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2335,1062,10,10,null,0,1,0
1732356044108,423,EnterDetails,200,OK,Thread Group 1-1,text,true,,2335,1062,10,10,https://blazedemo.com/confirmation.php,420,0,0
1732356044533,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,587,0,10,10,null,0,0,0
1732356044120,430,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2257,1062,10,10,null,0,0,0
1732356044120,430,EnterDetails,200,OK,Thread Group 1-8,text,true,,2257,1062,10,10,https://blazedemo.com/confirmation.php,426,0,0
1732356044551,0,Debug Sampler,200,OK,Thread Group 1-8,text,true,,586,0,10,10,null,0,0,0
1732356044193,512,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,2336,878,10,10,null,0,2,0
1732356044194,512,SearchFlights,200,OK,Thread Group 1-2,text,true,,2336,878,10,10,https://blazedemo.com/reserve.php,508,0,0
1732356044124,628,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,2422,875,10,10,null,0,1,0
1732356044124,628,SearchFlights,200,OK,Thread Group 1-4,text,true,,2422,875,10,10,https://blazedemo.com/reserve.php,613,0,0
1732356044119,635,SearchFlights,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,2349,873,10,10,null,0,1,0
1732356044119,635,SearchFlights,200,OK,Thread Group 1-3,text,true,,2349,873,10,10,https://blazedemo.com/reserve.php,634,0,0
1732356044708,605,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,2653,928,10,10,null,0,1,0
1732356044708,605,PurchaseFlight,200,OK,Thread Group 1-2,text,true,,2653,928,10,10,https://blazedemo.com/purchase.php,585,0,0
1732356044753,560,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,2481,928,10,10,null,0,1,0
1732356044754,560,PurchaseFlight,200,OK,Thread Group 1-4,text,true,,2481,928,10,10,https://blazedemo.com/purchase.php,560,0,0
1732356044756,557,PurchaseFlight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,2599,928,10,10,null,0,2,0
1732356044757,557,PurchaseFlight,200,OK,Thread Group 1-3,text,true,,2599,928,10,10,https://blazedemo.com/purchase.php,557,0,0
1732356045314,395,EnterDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,2311,1062,10,10,null,0,2,0
